,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,target
21481262,2021-08-29 15:33:10.699511+00:00,x,y,2021-08-31 10:00:00+00:00,2021-08-31 12:00:00+00:00,alpha,True,20.0,1,a-7,8381.0
1069018,2021-01-30 19:06:31.754616+00:00,x,y,2021-02-13 16:00:00+00:00,2021-02-13 18:10:00+00:00,alpha,True,20.0,1,a-7,9799.0
19619496,2021-08-17 12:28:24.415989+00:00,x,y,2021-08-27 10:00:00+00:00,2021-08-27 12:00:00+00:00,alpha,True,20.0,1,a-5,8381.0
18465707,2021-08-11 12:53:59.869007+00:00,x,y,2021-08-28 13:00:00+00:00,2021-08-28 15:00:00+00:00,alpha,True,15.0,1,a-9,7524.0
20968044,2021-08-25 17:57:21.281723+00:00,x,y,2021-09-10 05:00:00+00:00,2021-09-10 07:00:00+00:00,alpha,True,20.0,1,a-1,8381.0
13474005,2021-07-08 10:46:03.773938+00:00,x,y,2021-07-15 04:00:00+00:00,2021-07-15 06:00:00+00:00,alpha,True,35.0,1,a-1,14645.0
1775917,2021-02-16 15:30:17.410719+00:00,x,y,2021-02-28 05:00:00+00:00,2021-02-28 06:55:00+00:00,beta,True,20.0,0,b-1,11452.0
6158473,2021-05-04 15:03:51.272469+00:00,x,y,2021-05-16 05:00:00+00:00,2021-05-16 07:00:00+00:00,alpha,True,15.0,1,a-1,7397.0
4949244,2021-04-20 06:25:36.615943+00:00,x,y,2021-05-29 11:00:00+00:00,2021-05-29 13:00:00+00:00,gamma,True,20.0,1,c-4,8650.0
11776063,2021-06-29 08:46:52.012011+00:00,x,y,2021-07-03 16:00:00+00:00,2021-07-03 18:00:00+00:00,alpha,True,15.0,1,a-23,13592.0
2063506,2021-02-23 12:57:28.324662+00:00,x,y,2021-03-09 05:00:00+00:00,2021-03-09 07:00:00+00:00,gamma,True,20.0,2,c-2,14000.0
118481,2021-01-03 19:00:46.862683+00:00,x,y,2021-02-23 17:00:00+00:00,2021-02-23 18:59:00+00:00,gamma,True,0.0,0,c-6,8155.0
15496680,2021-07-22 22:49:28.473607+00:00,x,y,2021-07-27 10:00:00+00:00,2021-07-27 12:00:00+00:00,alpha,True,15.0,1,a-7,12945.0
20423538,2021-08-22 07:37:57.832833+00:00,x,y,2021-08-27 11:00:00+00:00,2021-08-27 12:55:00+00:00,beta,True,40.0,0,b-69,9380.0
15730874,2021-07-24 15:32:30.802398+00:00,x,y,2021-09-04 14:00:00+00:00,2021-09-04 16:00:00+00:00,gamma,True,20.0,2,c-4,13560.0
11716266,2021-06-28 20:24:33.400089+00:00,x,y,2021-07-14 14:00:00+00:00,2021-07-14 15:55:00+00:00,beta,True,20.0,0,b-9,7201.0
15177151,2021-07-20 07:40:19.935488+00:00,x,y,2021-07-21 11:00:00+00:00,2021-07-21 12:55:00+00:00,beta,True,20.0,0,b-69,6460.0
20570440,2021-08-23 06:55:14.752058+00:00,x,y,2021-09-09 07:00:00+00:00,2021-09-09 09:00:00+00:00,alpha,True,15.0,1,a-5,6810.0
13039198,2021-07-06 02:57:05.010401+00:00,x,y,2021-07-28 10:00:00+00:00,2021-07-28 12:00:00+00:00,alpha,True,15.0,1,a-7,9045.0
21394087,2021-08-28 20:33:10.626935+00:00,x,y,2021-09-01 07:00:00+00:00,2021-09-01 09:00:00+00:00,alpha,True,20.0,1,a-5,10545.0
6601451,2021-05-11 06:06:38.535614+00:00,x,y,2021-05-19 16:00:00+00:00,2021-05-19 18:00:00+00:00,alpha,True,15.0,1,a-7,6495.0
8498922,2021-06-02 14:13:49.838096+00:00,x,y,2021-06-19 13:00:00+00:00,2021-06-19 15:00:00+00:00,alpha,True,15.0,1,a-9,9403.0
2942029,2021-03-10 05:55:00.065445+00:00,x,y,2021-04-03 16:00:00+00:00,2021-04-03 17:55:00+00:00,beta,True,20.0,0,b-19,11357.0
11737377,2021-06-29 04:02:44.510248+00:00,x,y,2021-08-21 17:00:00+00:00,2021-08-21 18:59:00+00:00,gamma,True,20.0,1,c-6,7765.0
13926457,2021-07-11 09:22:33.677090+00:00,x,y,2021-08-01 04:00:00+00:00,2021-08-01 06:00:00+00:00,alpha,True,35.0,1,a-1,12645.0
8757234,2021-06-04 22:09:54.857111+00:00,x,y,2021-06-20 11:00:00+00:00,2021-06-20 13:00:00+00:00,gamma,True,20.0,2,c-4,11900.0
11516760,2021-06-27 15:57:20.698875+00:00,x,y,2021-08-07 07:00:00+00:00,2021-08-07 09:00:00+00:00,alpha,True,15.0,1,a-5,9497.0
2572797,2021-03-04 06:07:41.734275+00:00,x,y,2021-04-06 05:00:00+00:00,2021-04-06 07:00:00+00:00,alpha,True,15.0,1,a-1,7502.0
4623699,2021-04-15 14:51:09.104096+00:00,x,y,2021-05-01 05:00:00+00:00,2021-05-01 07:00:00+00:00,gamma,True,20.0,2,c-2,9145.0
8714955,2021-06-04 14:02:19.993429+00:00,x,y,2021-06-21 05:00:00+00:00,2021-06-21 06:55:00+00:00,beta,True,20.0,0,b-1,10067.0
13618819,2021-07-09 09:18:18.193632+00:00,x,y,2021-07-13 16:00:00+00:00,2021-07-13 18:00:00+00:00,alpha,True,35.0,1,a-23,14645.0
11183232,2021-06-25 08:58:36.951285+00:00,x,y,2021-06-28 04:30:00+00:00,2021-06-28 06:30:00+00:00,alpha,True,35.0,1,a-1,11072.0
7718013,2021-05-25 09:54:22.059217+00:00,x,y,2021-06-02 11:00:00+00:00,2021-06-02 13:00:00+00:00,gamma,True,20.0,1,c-4,8025.0
3334016,2021-03-15 20:33:06.644778+00:00,x,y,2021-03-18 17:00:00+00:00,2021-03-18 18:59:00+00:00,gamma,True,20.0,1,c-6,9800.0
5580905,2021-04-26 10:08:33.957276+00:00,x,y,2021-05-29 11:00:00+00:00,2021-05-29 13:00:00+00:00,gamma,True,20.0,1,c-4,9655.0
21501299,2021-08-29 18:21:47.315393+00:00,x,y,2021-09-05 05:00:00+00:00,2021-09-05 06:55:00+00:00,beta,True,40.0,0,b-1,9470.0
16347168,2021-07-28 23:35:47.717124+00:00,x,y,2021-07-30 17:00:00+00:00,2021-07-30 18:59:00+00:00,gamma,True,20.0,2,c-6,12300.0
4189746,2021-04-02 17:53:23.284037+00:00,x,y,2021-04-06 05:00:00+00:00,2021-04-06 07:00:00+00:00,alpha,True,35.0,1,a-1,10799.0
18822833,2021-08-13 07:37:51.498256+00:00,x,y,2021-08-31 04:00:00+00:00,2021-08-31 06:00:00+00:00,alpha,True,20.0,1,a-1,7524.0
6819360,2021-05-15 04:34:21.725663+00:00,x,y,2021-05-28 05:00:00+00:00,2021-05-28 07:00:00+00:00,alpha,True,35.0,1,a-1,6995.0
15664017,2021-07-24 03:19:22.694457+00:00,x,y,2021-07-25 17:00:00+00:00,2021-07-25 18:55:00+00:00,beta,True,40.0,0,b-319,17760.0
19219459,2021-08-15 09:36:37.174261+00:00,x,y,2021-08-19 13:00:00+00:00,2021-08-19 15:00:00+00:00,alpha,True,15.0,1,a-9,12945.0
21537343,2021-08-30 06:50:37.337534+00:00,x,y,2021-09-05 17:05:00+00:00,2021-09-05 19:05:00+00:00,omega,True,20.0,1,d-5,7950.0
14184213,2021-07-12 23:12:16.667089+00:00,x,y,2021-07-17 10:00:00+00:00,2021-07-17 12:00:00+00:00,alpha,True,15.0,1,a-7,14945.0
19314582,2021-08-15 18:42:32.572265+00:00,x,y,2021-08-26 14:00:00+00:00,2021-08-26 16:00:00+00:00,gamma,True,20.0,2,c-4,9750.0
21449400,2021-08-29 10:36:58.114561+00:00,x,y,2021-08-31 17:00:00+00:00,2021-08-31 18:59:00+00:00,gamma,True,20.0,1,c-6,9530.0
9079044,2021-06-08 09:08:08.456350+00:00,x,y,2021-06-12 14:00:00+00:00,2021-06-12 15:55:00+00:00,beta,True,20.0,0,b-9,10047.0
4184329,2021-04-02 14:27:02.538950+00:00,x,y,2021-04-09 13:30:00+00:00,2021-04-09 15:30:00+00:00,alpha,True,35.0,1,a-5,10799.0
2823798,2021-03-08 08:17:56.585170+00:00,x,y,2021-03-23 15:30:00+00:00,2021-03-23 17:30:00+00:00,alpha,True,15.0,1,a-7,7502.0
15228275,2021-07-20 15:08:46.547371+00:00,x,y,2021-08-08 07:00:00+00:00,2021-08-08 09:00:00+00:00,alpha,True,15.0,1,a-5,9045.0
21668113,2021-08-31 07:17:28.292554+00:00,x,y,2021-09-10 16:00:00+00:00,2021-09-10 18:00:00+00:00,alpha,True,15.0,1,a-23,7524.0
20871774,2021-08-25 05:55:15.838668+00:00,x,y,2021-08-30 14:00:00+00:00,2021-08-30 15:55:00+00:00,beta,True,40.0,0,b-9,8380.0
1618484,2021-02-13 10:11:41.494526+00:00,x,y,2021-02-18 05:00:00+00:00,2021-02-18 07:00:00+00:00,gamma,True,32.0,1,c-2,12500.0
17332942,2021-08-06 07:33:17.462093+00:00,x,y,2021-09-13 17:00:00+00:00,2021-09-13 18:59:00+00:00,gamma,True,20.0,2,c-6,13560.0
11137620,2021-06-24 22:18:17.465281+00:00,x,y,2021-07-17 11:00:00+00:00,2021-07-17 12:55:00+00:00,beta,True,40.0,0,b-69,8055.0
10882030,2021-06-23 02:43:49.038996+00:00,x,y,2021-07-02 16:00:00+00:00,2021-07-02 18:00:00+00:00,alpha,True,15.0,1,a-23,9497.0
10766213,2021-06-22 05:31:51.765910+00:00,x,y,2021-08-01 10:00:00+00:00,2021-08-01 12:00:00+00:00,alpha,True,35.0,1,a-7,13277.0
2324556,2021-02-28 12:19:49.040798+00:00,x,y,2021-03-15 08:00:00+00:00,2021-03-15 09:55:00+00:00,beta,True,40.0,0,b-67,8613.0
5270796,2021-04-22 18:40:50.430931+00:00,x,y,2021-04-23 05:00:00+00:00,2021-04-23 06:55:00+00:00,beta,True,20.0,0,b-1,6755.0
15488838,2021-07-22 20:48:02.264290+00:00,x,y,2021-07-26 07:00:00+00:00,2021-07-26 09:00:00+00:00,alpha,True,15.0,1,a-5,14945.0
8634467,2021-06-03 19:03:44.281905+00:00,x,y,2021-06-17 11:00:00+00:00,2021-06-17 13:00:00+00:00,gamma,True,20.0,2,c-4,11900.0
9990324,2021-06-15 13:54:20.829000+00:00,x,y,2021-07-09 09:45:00+00:00,2021-07-09 11:45:00+00:00,gamma,True,20.0,2,c-2,7620.0
10691134,2021-06-21 13:01:03.638964+00:00,x,y,2021-07-01 04:00:00+00:00,2021-07-01 06:00:00+00:00,alpha,True,15.0,1,a-1,6850.0
12115374,2021-07-01 07:24:43.392934+00:00,x,y,2021-07-03 16:00:00+00:00,2021-07-03 18:00:00+00:00,alpha,True,15.0,1,a-23,11245.0
9053169,2021-06-08 03:08:00.512711+00:00,x,y,2021-06-12 17:00:00+00:00,2021-06-12 18:59:00+00:00,gamma,True,20.0,2,c-6,11900.0
811112,2021-01-24 06:23:58.226651+00:00,x,y,2021-03-05 11:00:00+00:00,2021-03-05 13:00:00+00:00,gamma,True,32.0,1,c-4,9405.0
2619146,2021-03-04 18:23:09.555553+00:00,x,y,2021-03-26 17:00:00+00:00,2021-03-26 18:59:00+00:00,gamma,True,0.0,0,c-6,9280.0
8488599,2021-06-02 12:25:40.099379+00:00,x,y,2021-06-05 11:00:00+00:00,2021-06-05 13:00:00+00:00,gamma,True,20.0,2,c-4,11900.0
11254104,2021-06-25 17:29:12.820701+00:00,x,y,2021-06-28 07:00:00+00:00,2021-06-28 09:00:00+00:00,alpha,True,35.0,1,a-5,11072.0
8742191,2021-06-04 18:37:32.467210+00:00,x,y,2021-06-18 11:00:00+00:00,2021-06-18 12:55:00+00:00,beta,True,20.0,0,b-69,10067.0
17995271,2021-08-09 16:20:23.075154+00:00,x,y,2021-08-23 04:00:00+00:00,2021-08-23 06:00:00+00:00,alpha,True,15.0,1,a-1,9045.0
6038338,2021-05-02 21:10:37.173172+00:00,x,y,2021-05-05 16:00:00+00:00,2021-05-05 18:00:00+00:00,alpha,True,35.0,1,a-7,6995.0
7447212,2021-05-22 05:43:39.956818+00:00,x,y,2021-05-26 16:00:00+00:00,2021-05-26 18:00:00+00:00,alpha,True,35.0,1,a-7,7520.0
6683274,2021-05-12 12:54:49.338762+00:00,x,y,2021-05-27 14:00:00+00:00,2021-05-27 15:55:00+00:00,beta,True,20.0,0,b-9,6723.0
18163623,2021-08-10 10:17:28.827054+00:00,x,y,2021-08-21 16:00:00+00:00,2021-08-21 18:00:00+00:00,alpha,True,20.0,1,a-23,14645.0
8029727,2021-05-29 13:15:36.122344+00:00,x,y,2021-07-05 17:00:00+00:00,2021-07-05 18:59:00+00:00,gamma,True,20.0,2,c-6,11425.0
12334642,2021-07-02 11:52:07.896172+00:00,x,y,2021-07-06 11:00:00+00:00,2021-07-06 12:55:00+00:00,beta,True,40.0,0,b-69,10830.0
16006403,2021-07-26 12:46:55.822427+00:00,x,y,2021-08-17 11:00:00+00:00,2021-08-17 12:55:00+00:00,beta,True,20.0,0,b-69,6480.0
17121175,2021-08-04 15:39:16.794925+00:00,x,y,2021-08-28 10:00:00+00:00,2021-08-28 12:00:00+00:00,gamma,True,20.0,2,c-2,8765.0
7920405,2021-05-28 06:27:49.540454+00:00,x,y,2021-06-08 14:00:00+00:00,2021-06-08 15:55:00+00:00,beta,True,20.0,0,b-9,7458.0
12464591,2021-07-03 05:36:04.041520+00:00,x,y,2021-07-20 05:00:00+00:00,2021-07-20 06:55:00+00:00,beta,True,20.0,0,b-1,7190.0
8023494,2021-05-29 11:54:55.747571+00:00,x,y,2021-06-02 05:00:00+00:00,2021-06-02 07:00:00+00:00,gamma,True,20.0,1,c-2,8025.0
7276550,2021-05-20 09:27:01.791169+00:00,x,y,2021-06-21 10:00:00+00:00,2021-06-21 12:00:00+00:00,alpha,True,15.0,1,a-9,7124.0
16883101,2021-08-02 13:55:30.328997+00:00,x,y,2021-08-13 10:00:00+00:00,2021-08-13 12:00:00+00:00,gamma,True,20.0,2,c-2,8500.0
3945331,2021-03-27 22:04:26.953805+00:00,x,y,2021-03-28 18:00:00+00:00,2021-03-28 19:55:00+00:00,beta,True,40.0,0,b-19,12719.0
4962705,2021-04-20 08:17:31.939855+00:00,x,y,2021-05-03 16:00:00+00:00,2021-05-03 18:00:00+00:00,alpha,True,15.0,1,a-7,8048.0
4494478,2021-04-11 05:57:11.503838+00:00,x,y,2021-04-19 13:30:00+00:00,2021-04-19 15:30:00+00:00,alpha,True,15.0,1,a-5,8048.0
53883,2021-01-01 21:32:02.974004+00:00,x,y,2021-01-10 16:00:00+00:00,2021-01-10 17:55:00+00:00,beta,False,20.0,0,b-19,8697.0
17932102,2021-08-09 11:16:57.212461+00:00,x,y,2021-11-03 04:40:00+00:00,2021-11-03 06:40:00+00:00,omega,True,20.0,1,d-1,7950.0
9761721,2021-06-13 21:22:57.604147+00:00,x,y,2021-07-05 05:00:00+00:00,2021-07-05 06:55:00+00:00,beta,True,20.0,0,b-1,6522.0
6264938,2021-05-06 04:13:28.185886+00:00,x,y,2021-05-20 11:00:00+00:00,2021-05-20 13:00:00+00:00,gamma,True,20.0,1,c-4,9655.0
14297513,2021-07-13 17:08:56.955591+00:00,x,y,2021-07-30 10:00:00+00:00,2021-07-30 12:00:00+00:00,alpha,True,35.0,1,a-7,12645.0
2845946,2021-03-08 14:15:04.054307+00:00,x,y,2021-03-24 15:30:00+00:00,2021-03-24 17:30:00+00:00,alpha,True,35.0,1,a-7,8027.0
10184239,2021-06-17 07:53:46.536081+00:00,x,y,2021-07-03 16:00:00+00:00,2021-07-03 18:00:00+00:00,alpha,True,15.0,1,a-23,11807.0
13620727,2021-07-09 09:34:21.091753+00:00,x,y,2021-08-13 05:00:00+00:00,2021-08-13 06:55:00+00:00,beta,True,40.0,0,b-1,8180.0
13535136,2021-07-08 17:47:05.727934+00:00,x,y,2021-07-16 16:00:00+00:00,2021-07-16 18:00:00+00:00,alpha,True,15.0,1,a-23,14945.0
15032644,2021-07-19 03:52:32.383637+00:00,x,y,2021-07-25 05:00:00+00:00,2021-07-25 06:55:00+00:00,beta,True,40.0,0,b-1,17630.0
10346430,2021-06-18 15:16:19.626641+00:00,x,y,2021-06-30 10:00:00+00:00,2021-06-30 12:00:00+00:00,alpha,True,35.0,1,a-7,7150.0
4318901,2021-04-06 11:26:36.931469+00:00,x,y,2021-04-08 13:30:00+00:00,2021-04-08 15:30:00+00:00,alpha,True,15.0,1,a-5,8390.0
9701076,2021-06-13 13:31:12.718569+00:00,x,y,2021-07-03 14:00:00+00:00,2021-07-03 16:00:00+00:00,gamma,True,20.0,2,c-4,7900.0
17656065,2021-08-08 02:14:31.291699+00:00,x,y,2021-08-10 05:00:00+00:00,2021-08-10 06:55:00+00:00,beta,True,40.0,0,b-1,9360.0
15490225,2021-07-22 21:11:43.945879+00:00,x,y,2021-07-28 14:00:00+00:00,2021-07-28 16:00:00+00:00,gamma,True,20.0,2,c-4,12300.0
15942807,2021-07-26 05:10:20.984487+00:00,x,y,2021-08-22 04:00:00+00:00,2021-08-22 06:00:00+00:00,alpha,True,35.0,1,a-1,10545.0
11917379,2021-06-30 05:10:39.804132+00:00,x,y,2021-07-15 14:45:00+00:00,2021-07-15 16:45:00+00:00,gamma,True,20.0,1,c-4,7245.0
11818129,2021-06-29 12:53:42.356245+00:00,x,y,2021-07-16 05:00:00+00:00,2021-07-16 06:55:00+00:00,beta,True,20.0,0,b-1,7201.0
2628146,2021-03-04 21:40:56.166333+00:00,x,y,2021-05-15 15:30:00+00:00,2021-05-15 17:30:00+00:00,alpha,True,15.0,1,a-7,8027.0
6229830,2021-05-05 14:51:47.259865+00:00,x,y,2021-05-13 17:00:00+00:00,2021-05-13 18:59:00+00:00,gamma,True,20.0,1,c-6,7390.0
8030021,2021-05-29 13:19:01.302112+00:00,x,y,2021-06-28 05:00:00+00:00,2021-06-28 07:00:00+00:00,gamma,True,20.0,2,c-2,11425.0
2803904,2021-03-07 20:27:58.492882+00:00,x,y,2021-03-09 17:00:00+00:00,2021-03-09 18:59:00+00:00,gamma,True,20.0,1,c-6,7390.0
4020580,2021-03-29 16:10:53.434656+00:00,x,y,2021-04-10 15:30:00+00:00,2021-04-10 17:30:00+00:00,alpha,True,15.0,1,a-7,9798.0
13532379,2021-07-08 17:28:08.895176+00:00,x,y,2021-09-11 14:00:00+00:00,2021-09-11 16:00:00+00:00,gamma,True,20.0,2,c-4,11900.0
2540446,2021-03-03 15:20:43.620434+00:00,x,y,2021-03-10 11:00:00+00:00,2021-03-10 12:55:00+00:00,beta,True,20.0,0,b-69,6944.0
3363057,2021-03-16 10:55:38.411745+00:00,x,y,2021-04-02 05:00:00+00:00,2021-04-02 07:00:00+00:00,alpha,True,35.0,1,a-1,10799.0
10213100,2021-06-17 11:57:42.485815+00:00,x,y,2021-06-23 16:00:00+00:00,2021-06-23 18:00:00+00:00,alpha,True,15.0,1,a-23,6531.0
2741632,2021-03-06 18:47:01.541363+00:00,x,y,2021-03-10 15:30:00+00:00,2021-03-10 17:30:00+00:00,alpha,True,15.0,1,a-7,8027.0
21045526,2021-08-26 09:28:22.367115+00:00,x,y,2021-09-09 16:00:00+00:00,2021-09-09 18:00:00+00:00,alpha,True,20.0,1,a-23,7524.0
14517523,2021-07-15 06:45:32.289743+00:00,x,y,2021-08-08 16:00:00+00:00,2021-08-08 18:00:00+00:00,alpha,True,15.0,1,a-23,9045.0
20961673,2021-08-25 17:17:54.857290+00:00,x,y,2021-08-27 08:20:00+00:00,2021-08-27 10:20:00+00:00,alpha,True,15.0,1,a-5,11245.0
12017581,2021-06-30 16:02:38.277192+00:00,x,y,2021-07-03 04:00:00+00:00,2021-07-03 06:00:00+00:00,alpha,True,35.0,1,a-1,11072.0
14844390,2021-07-17 13:28:31.548634+00:00,x,y,2021-08-06 14:00:00+00:00,2021-08-06 16:00:00+00:00,gamma,True,20.0,1,c-4,12560.0
12826051,2021-07-04 21:52:14.444188+00:00,x,y,2021-07-14 17:00:00+00:00,2021-07-14 18:59:00+00:00,gamma,True,20.0,2,c-6,12300.0
20821013,2021-08-24 18:00:11.546481+00:00,x,y,2021-12-31 17:00:00+00:00,2021-12-31 18:59:00+00:00,gamma,True,20.0,2,c-6,10530.0
12578841,2021-07-03 16:31:04.401364+00:00,x,y,2021-07-17 17:00:00+00:00,2021-07-17 18:59:00+00:00,gamma,True,20.0,1,c-6,12560.0
2449924,2021-03-02 07:25:37.440771+00:00,x,y,2021-03-03 11:00:00+00:00,2021-03-03 12:55:00+00:00,beta,True,20.0,0,b-69,6954.0
3035994,2021-03-11 09:53:07.931374+00:00,x,y,2021-03-21 17:00:00+00:00,2021-03-21 18:59:00+00:00,gamma,True,20.0,2,c-6,11300.0
911754,2021-01-26 19:01:53.106207+00:00,x,y,2021-01-30 11:00:00+00:00,2021-01-30 12:55:00+00:00,beta,True,35.0,0,b-69,9564.0
8692498,2021-06-04 10:11:55.458064+00:00,x,y,2021-06-13 04:00:00+00:00,2021-06-13 06:00:00+00:00,alpha,True,35.0,1,a-1,9707.0
11308963,2021-06-26 06:47:11.209555+00:00,x,y,2021-07-10 14:00:00+00:00,2021-07-10 16:00:00+00:00,gamma,True,20.0,1,c-4,8750.0
3724821,2021-03-23 13:13:33.081373+00:00,x,y,2021-04-11 05:00:00+00:00,2021-04-11 07:00:00+00:00,alpha,True,15.0,1,a-1,9798.0
12156383,2021-07-01 11:18:50.077570+00:00,x,y,2021-08-22 14:00:00+00:00,2021-08-22 16:00:00+00:00,gamma,True,20.0,1,c-4,10285.0
6179147,2021-05-04 20:24:58.548987+00:00,x,y,2021-05-12 05:00:00+00:00,2021-05-12 07:00:00+00:00,gamma,True,20.0,1,c-2,9150.0
370404,2021-01-11 09:54:30.699718+00:00,x,y,2021-01-13 05:00:00+00:00,2021-01-13 07:00:00+00:00,gamma,True,32.0,2,c-2,9645.0
5211024,2021-04-22 08:02:47.410581+00:00,x,y,2021-05-16 05:00:00+00:00,2021-05-16 07:00:00+00:00,gamma,True,20.0,1,c-2,8145.0
12429447,2021-07-02 21:14:14.555735+00:00,x,y,2021-07-21 09:45:00+00:00,2021-07-21 11:45:00+00:00,gamma,True,20.0,2,c-2,9750.0
19121702,2021-08-14 17:51:55.583979+00:00,x,y,2021-08-25 11:00:00+00:00,2021-08-25 12:55:00+00:00,beta,True,20.0,0,b-69,7400.0
10397800,2021-06-19 03:40:46.579151+00:00,x,y,2021-07-25 16:00:00+00:00,2021-07-25 17:55:00+00:00,beta,True,40.0,0,b-19,8034.0
4250059,2021-04-04 15:02:38.262118+00:00,x,y,2021-04-22 15:30:00+00:00,2021-04-22 17:30:00+00:00,alpha,True,15.0,1,a-7,9798.0
